id,latitude,longitude,images,marineLife,maximumDepth,title,travelUrl,types
1953,-3.806962504965232,-32.38039970397949,[],[],,Cordilheiras,/dive-site/brazil/cordilheiras/,['Reef']
1955,-3.802766071282402,-32.38297462463379,[],[],,Pontal do Norte,/dive-site/brazil/pontal-do-norte/,"['Drift', 'Reef']"
1956,-3.8059348088105986,-32.37645149230957,[],[],,Macaxeira,/dive-site/brazil/macaxeira/,"['Drift', 'Reef', 'Wall']"
1957,-3.852950647357136,-32.36640930175781,[],[],,Pedras Secas,/dive-site/brazil/pedras-secas/,"['Drift', 'Reef']"
1958,-3.839762494459619,-32.39301681518555,[],[],,Caieiras,/dive-site/brazil/caieiras/,['Reef']
1959,-3.8616855452140655,-32.400054931640625,[],[],,Ilha do Frade,/dive-site/brazil/ilha-do-frade/,['Reef']
1960,-3.8651109708283418,-32.41189956665039,[],[],,Trinta Réis,/dive-site/brazil/trinta-reis/,"['Drift', 'Reef']"
1961,-3.874359550842693,-32.414302825927734,[],[],,Cabeço Submarino,/dive-site/brazil/cabeco-submarino/,['Reef']
1962,-3.8914862837173323,-32.42623329162598,[],[],,Iuias,/dive-site/brazil/iuias/,"['Drift', 'Reef']"
1963,-3.873845743492074,-32.476701736450195,[],[],,Caverna da Sapata,/dive-site/brazil/caverna-da-sapata/,"['Reef', 'Wall']"
1964,-3.8674231252971905,-32.48906135559082,[],[],,Cabeço da Sapata,/dive-site/brazil/cabeco-da-sapata/,"['Drift', 'Reef', 'Wall']"
1965,-3.8480693418317813,-32.473440170288086,[],[],,Corveta V17,/dive-site/brazil/corveta-v17/,['Wreck']
1966,-3.8389061138427416,-32.44588851928711,[],[],,Laje dois Irmãos,/dive-site/brazil/laje-dois-irmaos/,['Reef']
1967,-3.8347098364080825,-32.415761947631836,[],[],,Morro de Fora,/dive-site/brazil/morro-de-fora/,['Reef']
5583,-3.57373,-38.39859,,,,,,
5584,-3.078,-38.4,,,,,,
5585,-4.082597,-37.554703,,,,,,
7741,-3.817581960012334,-32.387866973876946,,,,,,
7742,-3.807990199893265,-32.389583587646484,,,,,,
7743,-3.80623455364905,-32.389497756958015,,,,,,
5928,-4.294075,39.596143,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/51/a3/51a3d0988079929d33d90b235e5bb15e.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/fd/a0/10/872c/c83opt-0f-19-0f19dcd85be7d572a52cc66980dbe79a.jpg'}, {'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/92/d3/92d3e6ef6e2c034625724a9202527670.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/9e/62/42/3fbe/c83opt-0a-8e-0a8ef675599cc8874c433d67cda4e076.jpg'}, {'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/f9/a4/f9a4b92ca5cf4cc08d198afa544c24b8.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/fd/b0/7b/65b8/c83opt-17-28-172889fd319a0f1e349a7f23b8156ec6.jpg'}]",[],"{'FEET': {'value': 39.37008, 'title': 'Feet'}, 'METERS': {'value': 12.0, 'title': 'Meters'}}",Swahili nurseries,/dive-site/kenya/swahili-nurseries/,"['Reef', 'Sandy bottom']"
6378,-7.935985613111548,39.78939056396485,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/0d/db/0ddba81f78429ea56cdea7fa946a5594.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/80/c2/94/25fc/36.jpg'}]",[],"{'FEET': {'value': 72.17848, 'title': 'Feet'}, 'METERS': {'value': 22.0, 'title': 'Meters'}}",Milimani South,/dive-site/tanzania/milimani-south/,"['Drift', 'Reef', 'Ocean']"
6438,-5.756927,39.218664,[],['Turtles'],"{'FEET': {'value': 65.6168, 'title': 'Feet'}, 'METERS': {'value': 20.0, 'title': 'Meters'}}",Mwana  Wa Mwana,/dive-site/tanzania/mwana-wa-mwana/,['Reef']
6439,-5.803019,39.215201,[],[],"{'FEET': {'value': 39.37008, 'title': 'Feet'}, 'METERS': {'value': 12.0, 'title': 'Meters'}}",Shetani,/dive-site/tanzania/shetani/,"['Reef', 'Wall']"
6440,-5.723511,39.242812,[],[],,Hunga,/dive-site/tanzania/hunga/,['Reef']
6441,-5.706649,39.307188,[],[],"{'FEET': {'value': 59.05512, 'title': 'Feet'}, 'METERS': {'value': 18.0, 'title': 'Meters'}}",Mbwangawa,/dive-site/tanzania/mbwangawa/,"['Drift', 'Reef']"
6442,-5.710476,39.31421,[],[],"{'FEET': {'value': 59.05512, 'title': 'Feet'}, 'METERS': {'value': 18.0, 'title': 'Meters'}}",Kichafi,/dive-site/tanzania/kichafi/,"['Drift', 'Reef']"
6443,-5.838556,39.392384,[],[],"{'FEET': {'value': 98.4252, 'title': 'Feet'}, 'METERS': {'value': 30.0, 'title': 'Meters'}}",Kichuani Wall,/dive-site/tanzania/kichuani-wall/,"['Reef', 'Wall']"
6444,-5.8348,39.386878,[],[],"{'FEET': {'value': 65.6168, 'title': 'Feet'}, 'METERS': {'value': 20.0, 'title': 'Meters'}}",Wattabomi,/dive-site/tanzania/wattabomi/,['Reef']
6446,-5.830319,39.383237,[],[],"{'FEET': {'value': 98.4252, 'title': 'Feet'}, 'METERS': {'value': 30.0, 'title': 'Meters'}}",Aquarium,/dive-site/tanzania/aquarium-5/,['Reef']
6447,-5.807764,39.418671,[],[],"{'FEET': {'value': 164.042, 'title': 'Feet'}, 'METERS': {'value': 50.0, 'title': 'Meters'}}",Big Wall,/dive-site/tanzania/big-wall/,"['Reef', 'Wall']"
6448,-5.730206,39.239652,[],[],"{'FEET': {'value': 45.93176, 'title': 'Feet'}, 'METERS': {'value': 14.0, 'title': 'Meters'}}",Nankiville,/dive-site/tanzania/nankiville/,['Reef']
6450,-5.634618,39.298309,[],[],"{'FEET': {'value': 164.042, 'title': 'Feet'}, 'METERS': {'value': 50.0, 'title': 'Meters'}}",Leven Bank,/dive-site/tanzania/leven-bank/,['Reef']
6451,-5.815856,39.362162,[],[],"{'FEET': {'value': 59.05512, 'title': 'Feet'}, 'METERS': {'value': 18.0, 'title': 'Meters'}}",Muyuni Plate Corals,/dive-site/tanzania/muyuni-plate-corals/,"['Reef', 'Wall']"
6452,-5.815856,39.362162,[],[],"{'FEET': {'value': 98.4252, 'title': 'Feet'}, 'METERS': {'value': 30.0, 'title': 'Meters'}}",Leon's Wall,/dive-site/tanzania/leons-wall/,"['Reef', 'Wall']"
6454,-5.840152,39.399972,[],[],"{'FEET': {'value': 98.4252, 'title': 'Feet'}, 'METERS': {'value': 30.0, 'title': 'Meters'}}",Small Wall,/dive-site/tanzania/small-wall-2/,"['Reef', 'Wall']"
6456,-5.708492,39.3082,[],[],"{'FEET': {'value': 59.05512, 'title': 'Feet'}, 'METERS': {'value': 18.0, 'title': 'Meters'}}",Ametatu,/dive-site/tanzania/ametatu/,['Reef']
6457,-5.731314,39.33544,[],[],"{'FEET': {'value': 65.6168, 'title': 'Feet'}, 'METERS': {'value': 20.0, 'title': 'Meters'}}",Haji,/dive-site/tanzania/haji/,['Reef']
10026,-6.4396656975066895,39.457225799560554,"[{'800x800': 'https://d2p1cf6997m1ir.cloudfront.net/media/thumbnails/24/1f/241f1c5d801a57dad896333cff85905b.webp', 'origin': 'https://d2p1cf6997m1ir.cloudfront.net/media/photos/9a/5b/6d/933f/15556540-1282640935127269-600576695-o.jpg'}]","['Seahorse', 'Leaffish', 'Garden eels', 'Ribbon eel', 'flounders', 'Blue Spotted Stingray']","{'FEET': {'value': 59.05512, 'title': 'Feet'}, 'METERS': {'value': 18.0, 'title': 'Meters'}}",Kizidi reef,/dive-site/tanzania/kizidi-reef/,['Ocean']
11093,-7.939300938380123,39.788317680358894,,,,,,
11094,-7.943126280445533,39.789562225341804,,,,,,
11095,-7.92569943379829,39.80681419372559,,,,,,
11096,-7.974790242054254,39.74952220916748,,,,,,
11097,-7.972070212602287,39.750080108642585,,,,,,
11098,-7.980102747402523,39.7507667541504,,,,,,
11099,-7.97432273827944,39.75402832031251,,,,,,
11100,-7.97198521139049,39.75377082824708,,,,,,
11137,-7.936750690547518,39.80415344238281,,,,,,
